entity,year,total_pop,continent,life_expectancy,deaths_neoplasms,daly,percent_prevalence_depressive_disorders,kg_banana_capita_year,kg_dates_capita_year,kg_citrus_other_capita_year,kg_orng_mand_capita_year,kg_apple_prod_capita_year,kg_lemon_lime_capita_year,kg_grape_capita_year,kg_grapefrt_prod_capita_year,kg_pineapple_prod_capita_year,kg_plantains_capita_year,kg_other_frt_capita_year,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,fruit_consumed_kg_pc_year,gdp_capita_year
Afghanistan,2007,27100542,NA,59.375,14253.281223073707,74522.04569888029,4.12972758067,0.3,0.12,0.06,0.39,1.72,NA,8.8,NA,0,NA,8.84,45.84,178.16,288.81,1533.19,55.4576,1460.8257513794
Afghanistan,2008,27722281,NA,59.93,14385.275410147662,71463.85366426603,4.12965570782,0.43,0.02,0.06,0.24,1.79,NA,7.32,NA,0,NA,8.69,47.2,180.64,267.48,1545.68,50.8544,1484.11446132539
Afghanistan,2009,28394806,NA,60.484,14458.35428630954,69850.85633247861,4.1299718921599995,1.36,0.04,0.02,1.37,2.19,NA,7.64,NA,0,NA,8.03,46.72,184.44,276.48,1573.36,56.581,1758.90447663765
Afghanistan,2011,30117411,NA,61.553,14868.810348172474,65925.15714651182,4.1308621916099995,0.95,0.21,1.09,3.73,1.93,NA,11.49,NA,0,NA,6.79,48.72,186.92,297.72,1573.64,71.76060000000001,1904.55992565594
Afghanistan,2012,31161378,NA,62.054,15065.556659877584,64673.316267345894,4.13248478823,1.6,0.29,0.62,5.89,1.45,NA,15.84,NA,0,NA,7.92,49.04,186.6,300.33,1564.03,92.0914,2075.49161435331
Afghanistan,2013,32269592,NA,62.525,15426.545857169383,62943.339932485585,4.13466069347,2.7,0.02,1.29,4.75,2.22,NA,15.8,NA,0,NA,7.29,48.88,184.12,301.68,1555.32,93.297,2116.46525771251
Afghanistan,2014,33370804,NA,62.966,15712.350529233709,62991.42329800815,4.13352565882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.8722,2102.38460375974
Afghanistan,2015,34413603,Asia,63.377,15902.337632607934,63274.70775839581,4.13541925043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.0104,2068.26590413364
Afghanistan,2016,35383028,NA,63.763,16244.82901499455,62958.587086996355,4.13569434555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.96740000000001,2057.06797755329
Afghanistan,1990,12412311,NA,50.331,10061.873743480066,104103.06930425552,4.07183117706,0.03,0,0.45,0.94,1.35,NA,14.03,NA,0,NA,19.39,67.8,197.08,435.6,1613.52,99.18800000000002,NA
Afghanistan,1991,13299016,NA,50.999,10171.33351148766,101240.7439882729,4.079530935399999,0.05,0,0.42,0.88,1.16,NA,18.4,NA,0,NA,18.16,64.96,173.68,370.08,1435.28,107.0518,NA
Afghanistan,1992,14485543,NA,51.641,10592.36758116952,90918.4703608358,4.08835824297,0.28,0,0.39,0.94,1.08,NA,14.01,NA,0,NA,16.13,59.76,159.12,342.99,1329.13,89.98160000000001,NA
Afghanistan,1993,15816601,NA,52.256,11126.644646057604,88234.35967522294,4.0961898971199995,0.21,0.01,0.4,0.91,1,NA,13.15,NA,0,NA,15.92,58.44,168.88,297.72,1384.96,86.5566,NA
Afghanistan,1994,17075728,NA,52.842,11477.937574856558,92997.69410701288,4.09958157816,0.06,0,0.4,0.66,0.87,NA,12.28,NA,0,NA,15.93,60.04,159.32,286.92,1313.72,82.7754,NA
Afghanistan,1995,18110662,NA,53.398,11711.27393587748,91435.56005624976,4.10420732528,0.12,0,0.37,0.65,0.69,NA,12.62,NA,0,NA,14.7,60.64,151.2,365.94,1266.22,79.87100000000001,NA
Afghanistan,1996,18853444,NA,53.924,11898.875426932313,89343.79354098019,4.10750045554,0.05,0,0.37,0.65,0.87,NA,11.32,NA,0,NA,14.51,64.04,152.96,349.74,1276.26,76.11720000000001,NA
Afghanistan,1997,19357126,NA,54.424,12109.522389548132,89603.68903254635,4.1108336772200005,0.13,0,0.4,0.96,0.59,NA,11.17,NA,0,NA,14.55,67.88,159.4,308.16,1338.56,76.17200000000001,NA
Afghanistan,1998,19737770,NA,54.906,12283.506787677386,92889.3110370671,4.114437791009999,0.13,0,0.42,0.62,0.63,NA,10.9,NA,0,NA,15.15,70.84,160.28,320.13,1351.75,76.30900000000001,NA
Afghanistan,1999,20170847,NA,55.376,12435.45866885482,88708.26447370947,4.11763349824,0.08,0.05,0.41,0.66,0.49,NA,9.98,NA,0,NA,13.94,72.56,151.92,342.18,1285.34,70.1714,NA
Afghanistan,2000,20779957,NA,55.841,12605.38077044338,88007.27076535637,4.1186103435899994,0.03,0.11,0.39,0.82,0.4,NA,9.13,NA,0,NA,13.87,59.2,151.08,289.26,1290.46,67.7876,NA
Afghanistan,2001,21606992,NA,56.308,12830.901543391135,87059.06777563108,4.1213810747,0.18,0.09,0.38,0.96,0.68,NA,11.67,NA,0,NA,13.93,44.28,154.4,242.64,1295.68,76.41860000000001,NA
Afghanistan,2002,22600774,NA,56.784,13069.174567716733,81936.16307101624,4.12492821619,0.17,0.09,0.35,1.13,0.67,NA,10,NA,0,NA,13.27,57.04,156.36,269.55,1343.05,70.3906,1189.78466765718
Afghanistan,2003,23680871,NA,57.271,13586.66102190516,79011.74938924293,4.12523049204,0.31,0.08,0.47,1.1,0.79,NA,7.46,NA,0,NA,10.66,52.88,165.28,269.91,1403.93,57.156400000000005,1235.81006329565
Afghanistan,2004,24726689,NA,57.772,13861.12111339164,78126.90176614499,4.12638387348,0.25,0.1,0.37,1.49,0.73,NA,8.54,NA,0,NA,10.12,53.4,167.56,314.55,1431.49,59.211400000000005,1200.27801321734
Afghanistan,2005,25654274,NA,58.29,14038.275744932876,75879.61380080169,4.12690776347,0.03,0.23,0.22,0.36,0.71,NA,9.26,NA,0,NA,10.98,52.08,161.96,330.75,1403.21,59.732000000000006,1286.79365893927
Afghanistan,2006,26433058,NA,58.826,14156.787620472827,75742.31917105954,4.128638371969999,0.42,0.23,0.19,1.71,1.82,NA,7.55,NA,0,NA,10.31,45.12,168.72,280.17,1471.99,60.9376,1315.78911741835
Afghanistan,2010,29185511,NA,61.028,14645.74863391439,67908.00819051161,4.13087388504,0.75,0.23,0.1,4.35,2.3,NA,9.03,NA,0,NA,8.61,48.44,184.12,304.92,1566.52,69.5138,1957.02906990812
Afghanistan,2017,36296111,NA,64.13,16670.45790997222,56925.14842386008,4.13634710028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.7502,2058.4002210698
Andorra,1990,54508,NA,76.507,84.20646560277322,21786.74198217087,3.76813538434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1991,56666,NA,76.668,89.39834996192506,21625.960939890545,3.76334506066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1992,58882,NA,76.835,95.20879820194683,21582.908101684385,3.76368075765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1993,60974,NA,77.007,102.25922016269956,21328.173917271983,3.75623502968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1994,62676,NA,77.188,105.86341550132728,21184.340461444255,3.75965348572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1995,63860,NA,77.387,107.95207270489396,20877.80715245303,3.76650466122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1996,64363,NA,77.618,110.24407335492675,20604.93686893073,3.76696754545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1997,64318,NA,77.886,112.8316355150446,20265.50789114705,3.76105423904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1998,64140,NA,78.188,115.379823194386,20000.706566030232,3.75812985171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1999,64368,NA,78.519,117.81804163932864,19697.941946383653,3.75333883157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2000,65390,NA,78.857,121.4346567703252,19507.126360768732,3.751057408579999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2001,67344,NA,79.18,125.0512749624332,19304.53266986339,3.75120620275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2002,70048,NA,79.468,129.49776986203096,19086.60670882782,3.74705210091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2003,73180,NA,79.713,135.08042137676046,19001.21509773684,3.73833268212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2004,76250,NA,79.919,140.19437851923234,18974.660048940743,3.7288308906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2005,78871,NA,80.103,142.5761129404554,18894.528563122043,3.7245327812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2006,80995,NA,80.292,146.72427775978358,18762.704021808077,3.71819956838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2007,82682,NA,80.515,152.24907111537496,18693.74449883277,3.71148456641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2008,83860,NA,80.785,157.80114222965972,18565.74072288593,3.70868977589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2009,84461,NA,81.104,163.05510442589448,18516.315685393063,3.70796225856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2010,84454,NA,81.461,166.49461076251663,18410.668625353483,3.70879683795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2011,83748,NA,81.837,153.3760951675827,18335.352014628792,3.72528127995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2012,82427,NA,82.202,149.82606167639773,18281.470045898834,3.72593229476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2013,80770,NA,82.536,152.87346839672676,18210.43049694208,3.72758938063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2014,79213,NA,82.828,156.76676432396465,18106.10056348117,3.72837859851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2015,77993,Europe,83.073,160.9914405077778,17963.82946794026,3.72788482086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2016,77295,NA,83.274,165.21837018881203,17974.82138687987,3.726824884060001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2017,76997,NA,83.443,171.70941662696714,17946.372113584734,3.72953168612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1990,7723954,NA,75.596,19323.52060944678,25376.63848218625,3.60620414187,15.46,0.07,0.01,26.29,43.17,3.86,8.39,0.8,1.89,0,38.72,263.08,146.76,1406.16,1694,379.98320000000007,37440.8371224764
Austria,1991,7772698,NA,75.83,19517.854046410976,25313.35541254538,3.61581125676,14.74,0.06,0.03,28.6,42.5,3.93,8.72,0.9,1.89,0,38.97,266.6,146,1433.07,1710.33,384.5316,38344.6538588312
Austria,1992,7830938,NA,76.063,19492.121874808312,25028.634596202603,3.62292714659,14.47,0.06,0.01,29.64,45.95,3.77,9.72,0.99,1.62,0,40.06,273.6,142.2,1452.78,1677.42,400.8620000000001,38718.93304962
Austria,1993,7892089,NA,76.304,19555.09247087272,24765.105444366585,3.62702204051,13.8,0.06,0.01,37.33,58.99,3.78,9.28,0.86,1.44,0,39.7,268,142.08,1434.15,1663.77,452.8124,38603.2585486016
Austria,1994,7947215,NA,76.557,19296.28368170308,24343.84456462302,3.62788358649,13.62,0.04,0.01,45.2,40.07,3.97,9.38,0.87,2.04,0,37.73,281.56,137.96,1428.39,1709.09,419.0282,39378.7061153852
Austria,1995,7990113,NA,76.823,19336.25240206722,23905.608907090027,3.62486931295,10.33,0.07,0.04,26.56,39.34,3.9,6.84,1.04,0.85,0,31.05,254.48,147.68,1375.11,1732.73,328.8548,40367.4710458506
Austria,1996,8017852,NA,77.101,19317.05733571884,23543.1353759704,3.61233395588,7.92,0.09,0.09,11.65,35.93,2.1,6.66,0.72,1.02,0.02,33.17,261.84,151,1403.28,1734.88,272.27380000000005,41260.1714020034
Austria,1997,8032873,NA,77.386,18891.59512520805,22920.81132660043,3.58156174351,9.96,0.08,0.54,18.95,46.28,2.22,7.02,0.22,0.82,0,33.37,263,137.32,1410.3,1683.38,327.293,42076.2876519581
Austria,1998,8041054,NA,77.672,18821.93134717409,22673.137538527044,3.5442124131499995,9.5,0.07,0.82,11.48,32.92,2.16,4.34,0.04,0.68,0,29.56,258.24,157.68,1406.97,1785.11,250.95660000000004,43535.4217533188
Austria,1999,8051116,NA,77.957,18731.798747400197,22409.211949624176,3.50555180891,11.07,0.07,0.48,11.74,40.51,2.75,6.64,0.07,0.7,0,38.84,258.4,163.56,1415.07,1835.97,309.26380000000006,44996.0545966818
Austria,2000,8069276,NA,78.239,18677.80941766016,22234.042399446866,3.4734686606099996,9.19,0.06,3.88,9.13,56.83,2.65,6.63,0.02,0.55,0,38.33,259.4,164.72,1431.18,1870.7,348.7198,46403.2776992589
Austria,2001,8097755,NA,78.518,18408.533374234357,21756.842932301646,3.4488051468900003,8.99,0.1,2.44,13.41,52.13,2.63,6.77,0.01,0.46,0,42.85,259.44,168.12,1445.94,1854.5,355.6246,46811.746772924
Austria,2002,8134403,NA,78.791,18491.198239902325,21509.23424250782,3.42517356508,9,0.1,1.64,12.46,50.47,2.57,5.99,0.74,1.95,0,35.4,257.84,166.36,1388.52,1839.28,329.6494,47351.3346982706
Austria,2003,8175855,NA,79.059,18623.08507170414,21412.175406113267,3.4027128779300004,9.07,0.08,1.57,12.75,57.87,2.92,5.59,0.68,2.76,0,47.04,240.4,167.96,1361.52,1839.12,384.5042000000001,47564.8638976916
Austria,2004,8216810,NA,79.318,18479.84535603425,21053.901783654383,3.38048675009,9.57,0.1,2.23,16.11,48.49,2.39,11.9,1.34,2.34,0,46.63,236.88,165.08,1400.4,1803.64,386.6688,48563.5886574222
Austria,2005,8253656,NA,79.567,18672.350503994585,20819.65792713667,3.36161309941,9.68,0.13,2.5,19.86,53.41,2.87,7.7,1.4,2.93,0.01,43.23,242.2,168.56,1370.34,1858.9,393.7928,49316.2647023136
Austria,2006,8285345,NA,79.806,18504.32033092584,20341.02854420797,3.3447036404799997,13.01,0.12,1.96,20.29,49.71,2.98,7.86,0.72,3.01,0.02,44.45,236.36,169.48,1460.7,1852.46,394.88880000000006,50767.8484448075
Austria,2007,8313731,NA,80.032,18893.33952239422,20232.55211354848,3.3279384575,9.87,0.23,0.99,13.89,62.82,2.93,8.19,0.91,3.38,0.01,46.48,242.16,172.52,1464.93,1857.39,410.178,52489.7572106205
Austria,2008,8341525,NA,80.246,19133.60200424932,20057.02128857716,3.31197871983,11.36,0.14,1.3,15.19,67,2.97,7.85,0.82,3.8,0.01,46.31,237.2,169.92,1456.74,1853.14,429.4402,53089.8763414956
Austria,2009,8372658,NA,80.444,19873.55976402655,20219.93499008524,3.29889417716,11.37,0.12,1.04,10.28,44.55,3.14,8.17,0.88,2.48,0.01,48.47,239.92,169.52,1510.38,1803.18,357.5974,50957.6063796813
Austria,2010,8409945,NA,80.622,20172.70241384141,20048.121319252725,3.2902066603799995,12.24,0.13,1.13,9.81,47.94,3.06,7.52,0.86,2.41,0,45.64,242.16,164.84,1532.52,1784.48,358.22760000000005,51769.1455641151
Austria,2011,8453501,NA,80.776,20575.6528323301,19772.136826408583,3.28490453608,11.75,0.14,0.75,21.52,53.09,3.2,7.92,0.61,2.23,0,54.59,243.08,170,1495.62,1826.3,426.89200000000005,53102.950844304
Austria,2012,8502230,NA,80.906,20828.06495777167,19487.33647983676,3.2785638887300004,11.31,0.16,0.74,24.6,60.49,3.2,8.44,0.84,2.29,0.01,44.33,243.64,170.12,1508.94,1816.3,428.5908,53221.0786648309
Austria,2013,8556191,NA,81.013,21018.6222850031,19279.1308498312,3.2735781924500005,10.92,0.17,0.81,25.82,48.34,3.64,8.68,0.85,2.58,0.1,52.19,251.44,173.4,1533.96,1809.2,422.2614000000001,52921.8171022969
Austria,2014,8615205,NA,81.103,21299.409849299107,19107.356875960664,3.26745995576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.6694,52857.0563215416
Austria,2015,8678667,Europe,81.182,21459.045511326894,18994.101755695876,3.26403220401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274.548,52798.0994607541
Austria,2016,8747306,NA,81.258,21493.659357443372,18763.505329273972,3.262610515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.3492,53269.3062047537
Austria,2017,8819902,NA,81.34,21744.67220496864,18620.941516420527,3.2609699942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.20160000000004,54169.9639937065
Bangladesh,2007,142660381,NA,68.648,71759.5069922723,43898.2431090558,4.22698762907,6.17,0.13,0.01,0.18,0.29,0.25,0.17,0.35,1.46,NA,13.8,33.44,181.64,257.58,1944.34,62.4994,2537.11119756525
Bangladesh,2008,144304164,NA,69.072,74186.13453978332,42595.440836271686,4.2249977433199994,5.33,0.14,0.04,0.35,0.59,0.34,0.44,0.33,1.28,NA,14.58,34.08,174.56,248.76,1928.6,64.1982,2659.04923206241
Bangladesh,2009,145924795,NA,69.485,75511.76759852486,41109.75726796206,4.22374274621,5.03,0.01,0.05,0.47,0.93,0.34,0.36,0.36,1.38,NA,15.11,37,183.92,264.87,1939.21,65.8696,2762.18047443876
Bangladesh,2010,147575433,NA,69.881,78109.11485282236,40092.4243925229,4.22464007963,4.87,0.01,0.04,0.67,1.08,0.34,0.41,0.37,1.4,NA,16.36,38.6,184.8,258.66,1956.94,70.007,2883.46679391309
Bangladesh,2011,149273134,NA,70.256,79075.92029653695,38679.49308112571,4.22136714926,4.72,0,0.03,0.9,0.95,0.34,0.31,0.37,1.29,NA,14.64,39.16,179.08,266.49,1944.27,64.527,3034.95108156758
Bangladesh,2012,151005733,NA,70.606,80350.3943930434,37306.26400244368,4.21367238455,4.34,0,0.02,0.75,0.83,0.39,0.36,0.37,1.05,NA,14.89,39.48,179.08,272.34,1944.1,63.02,3195.78104025627
Bangladesh,2013,152761413,NA,70.93,83439.76234322449,36169.93797644491,4.199102974760001,4.45,0,0.05,0.78,0.95,0.36,0.26,0.37,1.07,NA,15.05,39.68,183.68,269.37,1957.27,63.9242,3349.02500775857
Bangladesh,2015,156256287,Asia,71.514,91505.81410570328,34465.57367101545,4.16087254729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.7744,3700.11082057504
Bangladesh,2016,157977151,NA,71.785,94469.42506310076,33690.66952639379,4.13692262655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.1718,3920.14450723583
Bangladesh,1990,103171957,NA,58.21,56165.8915929112,67756.84389673901,4.16548462853,5.23,0.17,0,0.11,0.03,0.06,0.06,0.06,1.36,NA,4.43,19.92,162.8,155.07,1773.21,31.5648,1517.72927106581
Bangladesh,1991,105599125,NA,58.891,53571.439514458856,71623.21454931177,4.14652395182,5.13,0.02,0,0.1,0.02,0.06,0.06,0.06,1.22,NA,4.39,20.44,160.72,172.26,1762.58,30.304400000000005,1534.52517930292
Bangladesh,1992,107983708,NA,59.618,54052.36168198268,62436.741835705536,4.13419812996,5.09,0.01,0,0.1,0.07,0.07,0.04,0.07,1.19,NA,4.43,20.56,158.84,196.29,1735.31,30.3592,1582.31359952154
Bangladesh,1993,110350641,NA,60.388,53933.106399825025,60308.00327469884,4.127866725700001,4.95,0.03,0,0.08,0.06,0.07,0.05,0.07,1.17,NA,4.39,21.6,150.08,178.38,1659.94,29.7838,1621.32684617706
Bangladesh,1994,112737684,NA,61.19,53987.6062170575,58440.44320659852,4.12243862843,4.91,0.03,0,0.11,0.02,0.08,0.06,0.08,1.14,NA,4.42,21.48,152.36,170.73,1658.43,29.7564,1648.73402343608
Bangladesh,1995,115169933,NA,62.002,55212.24539968637,57285.48862688636,4.119832243,4.76,0.05,0.01,0.44,0.09,0.08,0.08,0.09,1.12,NA,4.43,21.92,153.92,185.31,1681.85,30.523600000000005,1696.56782496942
Bangladesh,1996,117649927,NA,62.798,55113.93393794459,55518.506691543225,4.13094026937,4.66,0.1,0.01,0.25,0.12,0.09,0.06,0.1,1.09,NA,4.36,23.04,153.76,189.18,1682.02,29.729000000000003,1735.92200817636
Bangladesh,1997,120160571,NA,63.553,55234.15139423343,53929.09430636333,4.15542003408,4.53,0.13,0,0.53,0.1,0.09,0.06,0.11,1.07,NA,4.35,24.68,154.6,231.75,1684.97,30.085200000000004,1775.9641175023
Bangladesh,1998,122682818,NA,64.25,55498.048675654296,52394.656632778744,4.18954171457,4.41,0.11,0,0.15,0.12,0.09,0.09,0.11,1.05,NA,4.5,25,156.2,279.45,1700.35,29.126200000000004,1829.50380574895
Bangladesh,1999,125189655,NA,64.881,56172.82682235199,51097.43078505544,4.21887513082,3.89,0.15,0,0.24,0.1,0.1,0.09,0.11,1.01,NA,4.33,26.44,172.48,215.73,1851.35,27.4548,1876.59904380337
Bangladesh,2000,127657862,NA,65.447,58021.33236515305,50425.047596560704,4.23179565213,3.89,0.13,0,0.27,0.04,0.11,0.09,0.11,1.01,NA,4.45,26.72,167.12,246.51,1817.65,27.674,1937.72919211467
Bangladesh,2001,130088709,NA,65.956,58550.52278601698,49474.71608245201,4.232661101610001,4.05,0.14,0,0.29,0.23,0.11,0.08,0.12,1.02,NA,4.54,27.36,171.68,245.52,1886.44,28.961800000000004,1998.06631990634
Bangladesh,2002,132478077,NA,66.43,59971.039002881174,48649.91019832875,4.23203463017,4.3,0.13,0.01,0.26,0.17,0.1,0.04,0.12,1.01,NA,4.29,28.88,174.76,213.48,1895.88,28.5508,2037.23630988193
Bangladesh,2003,134791598,NA,66.886,62044.00472864949,47822.59975438879,4.23321305275,4.2,0.19,0.02,0.48,0.16,0.11,0.03,0.12,1,NA,4.95,29.56,175.28,232.38,1912.78,30.9072,2097.16874811972
Bangladesh,2004,136986429,NA,67.331,63873.40080730988,46712.46925281377,4.23039159788,4.5,0.13,0.01,0.31,0.3,0.12,0.13,0.12,1.36,NA,6.3,30.68,179,242.37,1929.95,36.3872,2171.68867544338
Bangladesh,2005,139035505,NA,67.773,66083.38679373993,45718.76117332143,4.229018584279999,5.65,0.18,0,0.08,0.22,0.23,0.11,0.44,1.48,NA,11.09,32.04,176.24,247.32,1916.4,53.3478,2279.53127370224
Bangladesh,2006,140921154,NA,68.213,68595.70622267976,44603.313427818764,4.22785348978,5.65,0.14,0,0.17,0.18,0.3,0.13,0.36,1.58,NA,12.08,32.32,175.12,262.44,1902.12,56.3892,2399.08222733303
Bangladesh,2014,154517385,NA,71.231,88712.43126063752,35413.983211939696,4.18241274481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.3492,3511.64550625961
Bangladesh,2017,159685421,NA,72.052,99301.6598860653,33089.65902133226,4.1106113099899995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.67880000000001,4160.70332471531
Belarus,2007,9480514,NA,69.107,19959.51572961183,35264.033125970665,4.15003321627,2.87,0.07,0.1,7.99,29.63,0.83,1.15,1.33,0.92,0,21.96,205,163.04,1065.15,1752.81,183.169,14417.3535308989
Belarus,2008,9452855,NA,69.616,20122.20626998775,34950.86854717328,4.1293341034,4.27,0.04,0.01,7.76,24.28,0.66,1.16,1.36,1.22,0,26.44,202.48,160.96,1071.99,1764.57,184.128,15942.8976797373
Belarus,2009,9433159,NA,70.189,20380.02678944474,34768.709160238584,4.10744183213,3.64,0.05,0.01,6.8,23.46,0.84,1.02,1.12,0.84,0.13,28.66,210.56,155.68,998.1,1761.66,182.4292,16010.439955622
Belarus,2010,9420576,NA,70.806,21021.624950568406,34765.42398164425,4.09385387048,4.5,0.05,0.03,7.46,20.38,0.76,0.97,1.32,1.02,0.09,32.27,215.6,159.88,1115.64,1704.88,188.6764,17288.4043493433
Belarus,2011,9415316,NA,71.443,20912.773440698587,34676.094890295935,4.08205448062,4.14,0.04,0.03,7.44,20.06,0.73,0.97,1.18,1.01,0.02,26.37,226.04,166.12,1208.07,1799.77,169.85260000000002,18251.7809447653
Belarus,2012,9417045,NA,72.07,19106.525309097626,31678.208598333324,4.0696144938,6.12,0.05,0.04,9.5,26.85,0.79,1.01,1.33,1.13,0.06,24.73,231.48,166.72,1177.65,1824.15,196.23880000000003,18576.7286760826
Belarus,2014,9431742,NA,73.192,18583.641471551306,30026.92058681484,4.04831521205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.6202,19066.8868190919
Belarus,2016,9445638,NA,74.031,18248.443844344492,28414.95538763201,4.03047137215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.6914,17822.6065945418
Belarus,1990,10151135,NA,70.648,18843.745546348775,34379.57884973526,3.99847556586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.48,202.4,948.6,1995.52,NA,8895.47651248387
Belarus,1991,10160785,NA,70.227,19491.142591115964,35014.07816318885,4.02346650557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.48,200.08,799.47,1830.97,NA,8784.42045113033
Belarus,1992,10154338,NA,69.736,20192.674679051837,35838.42775294661,4.0448076648799995,0.04,0,0,0.43,20.1,0.1,0.08,0,0,0,17.61,208.84,177.36,831.42,1881.38,105.1064,7924.01489322442
Belarus,1993,10135133,NA,69.223,21483.94984710338,37680.602177733475,4.06518339785,0.05,0,0,0.49,22.26,0.05,0.1,0,0,0,22.07,217.4,179.2,860.67,1936.73,123.3822,7305.34258331295
Belarus,1994,10108280,NA,68.723,21433.744038259934,37934.912222993546,4.08545753303,0.44,0,0,0.75,21.92,0.18,0.09,0,0.01,0,16.51,208.68,175.92,877.05,1863.35,109.27120000000002,6458.18614237422
Belarus,1995,10077606,NA,68.274,21847.33930109354,38754.82631958431,4.10356939727,3.65,0,0,3.25,14.02,1.18,0.09,0,0.01,0,19.42,202.4,177.4,864.9,1950.3,114.0388,5805.26691258759
Belarus,1996,10044854,NA,67.904,21496.617151253955,38472.86519636625,4.117816756,4.52,0,0,4.38,16.21,0.45,0.16,0,0.07,0,14.26,207.6,179.44,896.58,2000.38,109.737,5987.78568941429
