dal_ys_disability_adjusted_life_years_communicable_maternal_neonatal_and_nutritional_diseases,prevalence_schizophrenia,deaths_vitamin_a_deficiency,deaths_high_systolic_blood_pressure,prevalence_bipolar_disorder,deaths_high_body_mass_index,life_expectancy,prevalence_eating_disorders,deaths_unsafe_sex,deaths_diet_low_in_fruits,prevalence_anxiety_disorders,percent_prevalence_depressive_disorders,prevalence_drug_use_disorders,total_life_satis,kg_banana_capita_year,kg_dates_capita_year,kg_citrus_other_capita_year,kg_orng_mand_capita_year,kg_apple_prod_capita_year,kg_lemon_lime_capita_year,kg_grape_capita_year,kg_grapefrt_prod_capita_year,kg_pineapple_prod_capita_year,kg_plantains_capita_year,kg_other_frt_capita_year,brain_nvss_cancer_deaths,breast_cancer_deaths,cervical_cancer_deaths,colon_rect_cancer_deaths,esophageal_cancer_deaths,gallbladder_cancer_deaths,kidney_cancer_deaths,larynx_cancer_deaths,leukemia_deaths,lip_and_oral_cavity_cancer_deaths,liver_cancer_deaths,non_hodgkin_lymphoma_deaths,other_cancers_deaths,other_pharynx_cancer_deaths,ovarian_cancer_deaths,pancreatic_cancer_deaths,prostate_cancer_deaths,stomach_cancer_deaths,tracheal_bronchus_and_lung_cancer_deaths,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,entity,year,fruit_consumed_kg_pc_year,gdp_capita_year,total_pop,continent,prevalence_alcohol_use_disorders
6648433.537994784,0.16849444871400002,9640.29558896752,5908.254809854284,0.620671707787,3638.551375774451,52.738,0.130249944432,3049.926576138134,981.1434698816458,2.88371030192,3.63461166542,0.513958071079,NA,53.02,0.02,0.01,0,0.03,0,0.02,0,2.62,48.67,9.57,175,561,706,431,190,133,79,78,258,81,1790,246,844,43,120,318,386,769,601,45.24,158.04,369.36,1540.36,Cameroon,1992,312.223,2831.18836001028,12499499,NA,1.00310257763
NA,NA,NA,NA,NA,NA,37.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cameroon,1950,NA,NA,4307021,NA,NA
NA,NA,NA,NA,NA,NA,70.782,NA,NA,NA,NA,NA,NA,NA,3.77,0,0,5.42,9.9,5.16,4.33,0,0.27,0,14.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.68,172.32,533.88,1734.12,Chile,1983,119.5462,NA,11907955,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chile,1941,NA,NA,5571001,NA,NA
27262751.70196749,0.33817407257800003,1690.183542774936,2542365.1220888444,0.321906029616,823869.2607532023,76.47,0.159587521318,73366.89943021673,718507.1133439307,3.03096888849,3.3113058974999996,1.11394315344,5.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,2017,268.32820000000004,14344.4212394424,1421021794,NA,1.22090281616
NA,NA,NA,NA,NA,NA,47.486,NA,NA,NA,NA,NA,NA,NA,4.23,0,0,1.78,0.27,0,0.07,0,3.86,22.99,13.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.48,87.2,333.27,1618.05,Congo,1963,129.2184,NA,1096638,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Congo,1921,NA,NA,527597,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cuba,1906,NA,NA,2018590,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyprus,1917,NA,NA,298431,NA,NA
NA,NA,NA,NA,NA,NA,62.079,NA,NA,NA,NA,NA,NA,NA,49.19,0,NA,9.72,0.3,2.15,0.23,0.41,3.22,98.61,49.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.76,114.6,457.11,1505.53,Dominican_Republic,1978,584.99,NA,5539596,NA,NA
