entity,code,year,fruit_consumed_kg_pc_year,gdp_capita_year,total_pop,continent,kg_vgtbl_capita_year,bladder_cancer_deaths,brain_nvss_cancer_deaths,breast_cancer_deaths,cervical_cancer_deaths,colon_rect_cancer_deaths,esophageal_cancer_deaths,gallbladder_cancer_deaths,kidney_cancer_deaths,larynx_cancer_deaths,leukemia_deaths,lip_and_oral_cavity_cancer_deaths,liver_cancer_deaths,non_hodgkin_lymphoma_deaths,other_cancers_deaths,other_pharynx_cancer_deaths,ovarian_cancer_deaths,pancreatic_cancer_deaths,prostate_cancer_deaths,stomach_cancer_deaths,tracheal_bronchus_and_lung_cancer_deaths,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,daly,percent_prevalence_depressive_disorders,total_life_satis,kg_banana_capita_year,kg_dates_capita_year,kg_citrus_other_capita_year,kg_orng_mand_capita_year,kg_apple_prod_capita_year,kg_lemon_lime_capita_year,kg_grape_capita_year,kg_grapefrt_prod_capita_year,kg_pineapple_prod_capita_year,kg_plantains_capita_year,kg_other_frt_capita_year,life_expectancy,deaths_unsafe_water_source,deaths_unsafe_sanitation,deaths_no_access_to_handwashing_facility,deaths_household_air_pollution_from_solid_fuels,deaths_non_exclusive_breastfeeding,deaths_discontinued_breastfeeding,deaths_child_wasting,deaths_child_stunting,deaths_low_birth_weight_for_gestation,deaths_secondhand_smoke,deaths_alcohol_use,deaths_drug_use,deaths_diet_low_in_fruits,deaths_diet_low_in_vegetables,deaths_unsafe_sex,deaths_low_physical_activity,deaths_high_fasting_plasma_glucose,deaths_high_total_cholesterol,deaths_high_body_mass_index,deaths_high_systolic_blood_pressure,deaths_smoking,deaths_iron_deficiency,deaths_vitamin_a_deficiency,deaths_low_bone_mineral_density,deaths_air_pollution,deaths_a_outdoor_air_pollution_all_ages_ihme,deaths_diet_high_in_sodium,deaths_diet_low_in_whole_grains,deaths_diet_low_in_nuts_and_seeds,population_sq_kg_land,prevalence_schizophrenia,prevalence_bipolar_disorder,prevalence_eating_disorders,prevalence_anxiety_disorders,prevalence_drug_use_disorders,prevalence_alcohol_use_disorders,proportion_wmn_snr_uppr_mgmnt,num_males_born_100fml_born,percent_fml,prevalence_mental_and_substance_use_disorders,dal_ys_disability_adjusted_life_years_non_communicable_diseases,dal_ys_disability_adjusted_life_years_communicable_maternal_neonatal_and_nutritional_diseases,dal_ys_disability_adjusted_life_years_injuries
Germany,DEU,1953,NA,NA,70929839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,GHA,1909,NA,NA,2902786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grenada,GRD,1991,417.7678,8923.63130031847,96462,NA,74.802,2,2,8,6,8,5,2,1,1,5,2,6,7,14,1,2,5,15,10,9,167,110.72,753.93,1429.35,34281.64820362294,2.74463215899,NA,18.23,0,8.15,20.63,4.91,4.83,1.51,24.43,0.35,5.35,64.09,69.937,3.0202191743161375,2.131065335895267,4.493615012561311,33.68390226198509,1.0186859530929977,0.06849084066573498,7.941837917622131,0.6243157554855704,11.541564382668088,10.563050967513728,38.29433025843649,2.8241604408091616,32.61214272092262,35.693228423487604,11.642461029371107,26.21060075572641,145.49717334041296,NA,66.95796628637876,164.06293252895736,61.03721109654317,0.3661551148755942,0.5268079213861849,1.788027517613695,63.13221906969904,29.57,24.48361808472996,54.94210853215028,36.94557494240424,283.711764705882,0.193175490224,0.886267638268,0.227142540047,4.56044454433,0.722525140305,1.62230817515,NA,NA,50.5888329082955,13.3210387,18790.104775226213,5270.322316277667,2654.6992706587325
Grenada,GRD,1949,NA,NA,76945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,HTI,1979,346.8566,NA,5520187,NA,122.8342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,155.8,286.74,1495.86,NA,NA,NA,28.29,NA,0,6.31,0.01,2.01,0,1.71,0.31,28.55,59.39,50.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.29706095791,NA,NA,NA,NA,NA,NA,NA,NA,50.9018806790422,NA,NA,NA,NA
Haiti,HTI,1937,NA,NA,2744934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,HND,1905,NA,NA,590337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hong_Kong,HKG,1981,203.993,NA,4971693,NA,243.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.68,152.64,955.62,1658.06,NA,NA,NA,4.27,0.48,1.16,24.62,7.82,0.97,2.43,0.1,0.23,0,32.37,75.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5183.4,NA,NA,NA,NA,NA,NA,NA,NA,47.7509773833581,NA,NA,NA,NA
Hong_Kong,HKG,1939,NA,NA,1687306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,HUN,2015,148.5354,27499.3244662857,9777925,Europe,258.4094,924,761,2150,523,5348,659,395,831,504,1011,805,889,615,2687,603,768,2071,1342,1716,8475,NA,NA,NA,NA,25950.060398735557,2.75450270338,5.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.006,78.7472392756003,38.129753250918434,13.646992905877536,1780.3363326661547,4.343142531180664,0.35514130413066747,23.2402324368111,1.5007986695081672,154.03928016706934,2597.0859342794624,13282.145477726071,403.46809891004534,6804.520353032958,3717.057908085969,571.5415414863428,4535.8410255780445,22728.329395149827,NA,19982.612200698888,41191.266736041085,26513.46357943799,2.0179770734006532,2.528961547862298,863.0207791385744,8579.032769198962,6962.14,9736.16579013059,9473.56627151584,8094.846140647272,107.85698005698,0.205242274425,0.703031013443,0.234707642547,3.4585437153500003,0.717385662764,2.13547559829,39.06,105.7,52.4774837197054,11.4007140137,3283061.431327428,133880.24620190627,402914.3867192635
Iceland,ISL,1972,147.275,NA,209928,NA,44.0044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.12,109.92,1149.93,1422.03,NA,NA,NA,7.12,0.3,0,9.52,9.15,0.7,6.53,0.42,0,0,20.01,74.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08615461346633,NA,NA,NA,NA,NA,NA,NA,106.6,49.4455241797188,NA,NA,NA,NA
Iceland,ISL,1930,NA,NA,108482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,IND,2006,117.82,3453.10566102778,1165486291,NA,179.16860000000003,8630,15571,43339,34182,37618,29990,8226,3685,21601,25640,43656,20908,16153,81792,41305,11412,16001,14094,66263,46549,42.24,181.4,443.88,1666.48,47678.42149074756,3.93938201083,5.348,14.68,0.25,0.29,2.69,1.46,1.59,1.23,0.12,1.1,NA,19.58,64.918,654674.2676722298,497423.0769877919,329214.68007265276,546837.60939838,61488.86631305943,1990.62172471269,454782.7760529564,137564.23452275977,382318.9466991605,179203.34330184883,438599.8810771636,44639.00409678227,309855.09353554697,217921.21796794975,167978.1302121144,108985.07735659006,660654.8443751681,488954.261015,235257.91038000077,1006446.4612460224,725157.8232951843,32632.88810634185,136778.75175205266,60977.12325957244,1025864.6146078352,523756.73,129760.85435355236,349981.60070535255,259156.0488474182,391.998591075579,0.262611986403,0.553799606427,0.126230605888,3.30967704766,0.501409152995,1.45193378687,NA,NA,47.9713764389529,15.100349002300002,208905488.41087148,241293093.67224073,49360266.39522239
Ireland,IRL,1989,191.3068,NA,3509508,NA,182.07300000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274.4,172.6,1260.99,1879.01,NA,NA,NA,7.97,0.04,0.05,17.48,17.5,0.97,9.22,1.06,0.94,0,14.58,74.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9654376542314,NA,NA,NA,NA,NA,NA,NA,NA,50.2013957511993,NA,NA,NA,NA
Ireland,IRL,1947,NA,NA,2919390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,ISR,1901,NA,NA,358422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,JPN,1969,138.4522,NA,103496032,NA,358.14540000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.24,185.84,474.84,1898.08,NA,NA,NA,6.01,0.03,0.66,18.87,9.36,0.34,2.51,0.02,1.25,0,11.48,71.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.753749659122,NA,NA,NA,NA,NA,NA,NA,NA,50.7232799031368,NA,NA,NA,NA
Japan,JPN,1928,NA,NA,61769908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,JOR,2002,184.128,9377.64537255967,5317514,NA,337.45840000000004,73,104,272,30,244,25,31,25,30,233,22,56,152,277,8,35,70,78,124,242,89.72,205.76,853.47,1789.05,32230.265947450676,3.74727898767,NA,9.11,1.48,1.15,20.63,8.95,4.95,7.13,1.16,0.2,0,12.44,72.083,40.692771964106896,22.95866507167556,43.57052095687421,3.5915320481154476,69.54556661772948,2.62931848961731,235.76988654935616,39.078307117159376,1809.6619332770183,650.6097588450942,28.668696602392984,103.09116761970635,903.3468126945886,477.0177887683656,42.46416675434622,436.79591227041743,3253.9683906400815,NA,3143.2196999921075,3621.759143609914,1717.6064580327268,30.490973430167003,58.39578054167645,36.33906540307897,1341.423577718983,1351.27,415.48790967875937,1441.7874671460893,824.2970810582125,60.2619446962829,0.190966731071,0.8102286414140001,0.164431413591,4.93010477999,1.43124948323,0.6342473026359999,NA,105.4,48.2532815146326,14.8280413077,842321.5969204621,365210.4843961644,149275.85901238554
Jordan,JOR,1960,NA,NA,933102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7260792496426,NA,NA,NA,NA
Kenya,KEN,1997,139.7674,2931.40977447419,29415660,NA,131.3008,118,195,627,1140,568,679,254,51,153,389,196,445,340,1601,82,185,338,440,1185,389,59.28,173.72,419.22,1364.78,69780.49155036025,3.66015363645,NA,31.06,0.07,4.45,1.12,0.13,0.29,0.02,0.19,4.96,0.83,7.88,52.014,20929.25130281441,16143.729211641192,15015.275263390926,14599.62405776012,4937.442413490856,271.3563029708026,26152.45601824929,7406.003356020292,12944.59717792872,1974.197972748966,11726.837864484318,3725.955997862158,3683.0396175031633,2418.184196979058,56537.195088116285,612.7071517457209,10638.535876718452,NA,3564.3984968804325,14171.724983434704,5775.831386762289,1028.7369973056575,11017.235823212792,621.7126146573175,17496.88732758945,2962.07,2055.827715297285,3527.6320969303483,1867.005703643765,51.6844010261096,0.168128693974,0.636659878226,0.121954749651,3.60161687452,0.451418799704,1.2569414457,NA,103,50.307853027945,12.4379878966,3902545.069544917,13528130.166085072,891976.8097670048
Kenya,KEN,1955,NA,NA,6987658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laos,LAO,1981,75.35000000000001,NA,3323353,NA,37.4558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.24,165.48,200.43,1560.85,NA,NA,NA,2.58,NA,NA,8.31,0,0.8,0,0.63,9.17,NA,6.02,49.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3992764298094,NA,NA,NA,NA,NA,NA,NA,NA,50.3003743508439,NA,NA,NA,NA
Laos,LAO,1939,NA,NA,928634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebanon,LBN,1998,512.928,14822.1128399399,3693514,NA,778.6258000000001,230,123,315,38,266,32,25,34,73,219,28,78,129,405,15,59,80,173,196,420,133.56,234.48,1005.39,1993.57,29140.561748109005,3.62651891187,NA,18.28,1.62,NA,32.44,18.37,17.51,20.64,3,0.59,0,74.76,73.528,76.06523795871692,37.33158407831221,38.489589791772666,1.7053812379676747,42.19173813211856,2.9200949586136953,155.4094943278627,26.66136863677856,964.1107191256572,663.8545775765554,412.41266567050405,201.4988601084807,297.55264777861606,26.75993869366684,127.86362371365496,818.0595364461399,3923.526687351901,NA,3201.564308329463,4497.755979656169,3505.2376805172385,12.797949380535004,34.49819432806003,72.87785645432885,1592.9601897742507,1609.72,601.3860529524258,1877.7526639138075,801.0851932730019,361.047311827957,0.194105248193,0.986986983004,0.188230040099,5.96559349157,1.76523360717,0.644570192417,NA,NA,50.3209680537288,16.0048367271,854305.0809885864,223515.15430690223,141316.98074394758
Lebanon,LBN,1956,NA,NA,1584039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,LUX,1923,NA,NA,277064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.683998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,MYS,1980,157.139,NA,13798094,NA,68.33560000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.6,131.64,696.51,1831.25,NA,NA,NA,24.04,0.28,0.21,2.53,1.64,0.26,0.47,0.22,8,0,19.71,68.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9969380611779,NA,NA,NA,NA,NA,NA,NA,NA,49.4509966376515,NA,NA,NA,NA
Malaysia,MYS,1938,NA,NA,4919810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,MEX,1918,NA,NA,14649106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mongolia,MNG,1904,NA,NA,704662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,MAR,1988,146.3708,NA,23903592,NA,237.4484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.4,278.08,540.81,2174.71,NA,NA,NA,1.01,1.44,0.16,22.05,9.15,0.75,6.23,0.51,0.01,NA,12.1,63.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.5594712077078,NA,NA,NA,NA,NA,NA,NA,NA,50.11727107792,NA,NA,NA,NA
Morocco,MAR,1946,NA,NA,8407169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,NPL,2005,113.7922,2282.68505366778,25744500,NA,219.474,165,322,960,884,723,722,184,67,364,572,708,459,315,1730,634,279,360,259,1504,1153,38.8,209.56,376.47,1781.17,42813.81973203231,3.69648145274,NA,2.25,0.02,0.04,5.42,2.48,0.97,0.08,0.02,0.48,NA,29.77,65.264,11237.16716212872,7987.342873614898,5588.982105879882,12793.708236228947,1036.372994019576,17.734577137540057,8129.47244122918,1760.2912593194335,7826.543637742665,2750.1431405588687,4491.172468051741,570.590400881177,5494.134519530735,3605.1060862872177,2185.3053135824503,1638.0908858769149,9269.364970569404,9113.64529984,3639.26588097858,16976.21760706995,17458.84257336621,575.1757165994379,1658.3462205076282,967.890864270891,21181.80851446875,9260.74,2457.3094070086727,5188.762324205868,4817.128293121058,179.591907917684,0.245201004692,0.577929555661,0.109882906477,3.79616754225,0.487936465498,1.38097351279,NA,NA,50.3275029617977,13.2722084826,3956339.4689474446,5030400.963601698,909299.0005623216
Nicaragua,NIC,2008,123.163,4693.62809698984,5667436,NA,27.4548,24,99,150,272,177,25,44,36,25,178,20,236,64,268,10,43,97,190,308,179,73.96,180,541.08,1671.96,25695.445593893874,2.88033574153,5.104,0.3,0,0.17,10.17,14.44,0,0.27,0.02,8,6.94,4.65,71.915,246.67199765300413,184.9759113613611,138.74594870313186,1157.4056489661623,122.17002527773644,8.850955461990315,535.0610849116731,67.5603010386262,607.8977853235051,374.0227825839635,1345.2957223415242,294.96550314932307,807.7585998920691,764.284765290269,448.1762805921596,313.93576562777173,3626.921551705939,NA,2393.0273585377936,3924.770498056921,1303.6361502551488,15.624839713415891,21.328190567781473,78.96220786688674,1598.9685408796709,452.33,553.750080880677,856.0608477388602,781.1952640467545,47.0951969419977,0.197400262819,0.795388862963,0.190207473912,2.90072411185,0.568379147113,2.0783990051,NA,105,50.7132502246166,10.971555814,756262.3623538776,303378.8232588502,160938.18087636202
Norway,NOR,1976,246.9562,NA,4027475,NA,130.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.48,138.44,1300.5,1509.58,NA,NA,NA,9.34,0.09,0.26,20.77,22.34,0.56,6.39,0.87,0.79,0,28.72,75.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0231845013197,NA,NA,NA,NA,NA,NA,NA,NA,50.3507532635212,NA,NA,NA,NA
Norway,NOR,1934,NA,NA,2872461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.220001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakistan,PAK,1997,102.613,3180.35110759572,131057432,NA,89.6802,2759,2192,9161,1749,4142,4608,1049,491,3229,3379,6122,2777,3356,11305,2772,2425,1614,1704,3596,7656,89.48,158.4,563.4,1590.72,60004.226689005554,3.51045945143,NA,0.61,3.61,0,13.37,3.89,0.58,0.83,0,0.01,NA,14.54,62.039,89079.1907709383,60977.98479886636,41552.69728926593,82013.16200649709,19216.75658531215,1795.7923375876435,105916.94462325952,44441.319791719434,112426.65259752511,31960.02700511817,4505.538153584174,2733.8874187880697,48958.51164048286,40091.984595938855,2382.2405352212822,17371.389718455775,75987.47449827362,NA,31701.41103911498,144777.8668441537,104700.2303942573,9170.163286177729,38573.97883520623,2744.898009993686,119462.1572666023,39952.46,12640.463785073149,60796.94094671249,35512.238318189775,170.010159817352,0.255272686574,0.566024354121,0.129982710644,3.74087728272,0.6461527508789999,1.41302607478,NA,108,48.3452224212664,12.3950909994,24504530.91281996,52161999.16998979,6016273.400171081
